data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-88,1
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-88,1
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-88,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-89,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-91,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-76,6
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-77,6
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-78,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-78,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,84:f1:47:54:71:00,-82,1
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:71:02,-83,1
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-85,1
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-85,6
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-86,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-86,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-87,1
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,b8:11:4b:1d:1e:40,-88,6
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:07:35,18,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-88,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-74,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-74,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-75,6
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-76,6
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-83,1
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-83,1
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-86,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:71:00,-87,1
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:71:02,-87,1
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-87,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-89,6
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,b8:11:4b:1d:1e:40,-89,6
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-89,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-89,11
08/05/2026,07:07:45,19,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-90,11
08/05/2026,07:07:46,19,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-90,11
08/05/2026,07:07:55,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-72,11
08/05/2026,07:07:55,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-73,11
08/05/2026,07:07:55,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-76,6
08/05/2026,07:07:55,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-76,6
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:71:02,-82,1
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-83,1
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:71:00,-83,1
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-84,1
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-85,11
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-86,11
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,b8:11:4b:1d:1e:40,-88,6
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-88,6
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-88,11
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-89,11
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-91,11
08/05/2026,07:07:56,20,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-91,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB,84:f1:47:54:fd:c0,-73,6
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:fd:c2,-73,6
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:f9:82,-76,11
08/05/2026,07:08:27,21,PET Eng. Elétrica,IFPB-VISITANTE,84:f1:47:54:96:e2,-77,1
