data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:58:01,34,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-65,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:01,34,IFPB,84:f1:47:54:96:e0,-82,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:01,34,IFPB-VISITANTE,84:f1:47:54:96:e2,-83,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:01,34,IFPB,24:36:da:2b:bc:00,-85,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:01,34,IFPB-VISITANTE,24:36:da:2b:bc:02,-85,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB,e4:4e:2d:85:4c:60,-70,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-70,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB,24:36:da:2b:bc:00,-85,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB-VISITANTE,24:36:da:2b:bc:02,-86,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB-VISITANTE,84:f1:47:54:eb:22,-88,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB-VISITANTE,84:f1:47:54:96:e2,-89,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB,84:f1:47:54:eb:20,-89,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:10,35,IFPB,84:f1:47:54:96:e0,-90,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:45,36,IFPB,e4:4e:2d:85:4c:60,-78,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:45,36,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-78,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:45,36,IFPB,24:36:da:2b:bc:00,-89,6,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:45,36,IFPB-VISITANTE,84:f1:47:54:8b:a2,-89,11,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:45,36,IFPB-VISITANTE,84:f1:47:54:eb:22,-90,1,Pesquisa em Eng. Elétrica,Duck,8
18/11/2025,06:58:45,36,IFPB,84:f1:47:54:eb:20,-90,1,Pesquisa em Eng. Elétrica,Duck,8
