data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:38:04,27,IFPB-VISITANTE,84:F1:47:54:FD:C2,-74,1,Lab. de telecomunicações
17/03/2026,10:38:04,27,IFPB,84:F1:47:54:7F:20,-78,11,Lab. de telecomunicações
17/03/2026,10:38:04,27,IFPB-VISITANTE,84:F1:47:54:7F:22,-78,11,Lab. de telecomunicações
17/03/2026,10:38:04,27,IFPB,84:F1:47:54:96:E0,-86,1,Lab. de telecomunicações
17/03/2026,10:38:04,27,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB,84:F1:47:54:FD:C0,-74,1,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB-VISITANTE,84:F1:47:54:FD:C2,-75,1,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB,84:F1:47:54:7F:20,-75,11,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB-VISITANTE,84:F1:47:54:7F:22,-75,11,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB-VISITANTE,84:F1:47:54:71:02,-86,1,Lab. de telecomunicações
17/03/2026,10:38:14,28,IFPB,84:F1:47:54:71:00,-88,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB,84:F1:47:54:FD:C0,-73,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,84:F1:47:54:FD:C2,-74,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB,84:F1:47:54:7F:20,-84,11,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,84:F1:47:54:7F:22,-84,11,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,84:F1:47:54:71:02,-86,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB,84:F1:47:54:71:00,-87,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB,2C:57:41:D4:69:C0,-87,6,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,84:F1:47:54:96:E2,-89,1,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,2C:57:41:D4:69:C2,-89,6,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-89,11,Lab. de telecomunicações
17/03/2026,10:38:24,29,IFPB,E4:4E:2D:85:4C:60,-90,11,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB-VISITANTE,84:F1:47:54:FD:C2,-74,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB,84:F1:47:54:FD:C0,-75,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB,84:F1:47:54:7F:20,-76,11,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB-VISITANTE,84:F1:47:54:7F:22,-76,11,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB,84:F1:47:54:96:E0,-85,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB,84:F1:47:54:71:00,-85,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB-VISITANTE,84:F1:47:54:71:02,-85,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB-VISITANTE,84:F1:47:54:96:E2,-86,1,Lab. de telecomunicações
17/03/2026,10:38:34,30,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,6,Lab. de telecomunicações
17/03/2026,10:38:35,30,IFPB,2C:57:41:D4:69:C0,-87,6,Lab. de telecomunicações
17/03/2026,10:38:35,30,IFPB,84:F1:47:54:95:E0,-87,11,Lab. de telecomunicações
17/03/2026,10:38:35,30,IFPB-VISITANTE,84:F1:47:54:95:E2,-88,11,Lab. de telecomunicações
17/03/2026,10:39:08,31,IFPB-VISITANTE,84:F1:47:54:FD:C2,-81,1,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB,84:F1:47:54:FD:C0,-82,1,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB,84:F1:47:54:95:E0,-84,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB-VISITANTE,84:F1:47:54:95:E2,-84,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB,84:F1:47:54:F9:80,-86,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB-VISITANTE,84:F1:47:54:F9:82,-86,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB,84:F1:47:54:7F:20,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB-VISITANTE,84:F1:47:54:7F:22,-89,11,PET Eng. Elétrica 
17/03/2026,10:39:08,31,IFPB-VISITANTE,84:F1:47:54:71:02,-91,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB,84:F1:47:54:FD:C0,-80,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:FD:C2,-80,1,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB,84:F1:47:54:95:E0,-84,11,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:95:E2,-84,11,PET Eng. Elétrica 
17/03/2026,10:39:18,32,IFPB-VISITANTE,84:F1:47:54:F9:82,-85,11,PET Eng. Elétrica 
