num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,2c:57:41:d4:69:c2,4c:e1:75:db:58:80,4c:e1:75:db:58:82,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
14,Lab. de telecomunicações,,,,,,,,,,-90,-91,-74,-74,,,,,-85,-86,,,,,-82,-82,,,,,-88,-87
15,Lab. de telecomunicações,,,,,,,,,,,-91,-74,-75,,,,,-85,-85,,,,,-85,-84,,,,,-89,-90
16,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,-62,-62,,,,,-82,-83,-88,-89,-82,-82,,,,
17,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,-62,-62,,,,,-85,-85,-88,-87,-81,-81,,,,
18,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,-65,-65,,,,,-88,,-89,,-87,-87,,,,
19,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,-61,-61,,,,,-85,-84,-86,-86,,-80,,,,
20,Coordenação de Eng. Elétrica,,,,,,,,,,,,,,,,-64,-64,,,,,,,-89,-89,-86,-87,,,,
21,Sala dos professores,,,,,,,,,,,,-83,-85,,,-87,-87,,,,,,,-60,-60,,,,,,
22,Sala dos professores,,,,,,,,,,,,-83,-82,,,-87,-88,,,,,,,-62,-62,,,,,-86,
23,Sala dos professores,,,,,,-88,,,,,,-82,-82,,,-88,-88,-85,-89,,,,,-63,-63,,,,,-85,-85
24,Sala dos professores,,,,,,-89,-90,,,,,-82,-83,,,-87,-87,-88,-90,,,,,-63,-63,,,,,-85,-84
25,Sala dos professores,,,,,,-87,,,,,,-82,-84,,,,,,,,,,,-63,-63,,,,,-85,-85
26,PET Eng. Elétrica,,,,,,,,,,-89,,-84,-85,,,-80,-80,,,,,-85,-84,-77,-77,,,,,-89,-88
27,PET Eng. Elétrica,,,,,,,,,,,-91,-82,-83,,,-79,-79,,-91,,,-85,-84,-79,-79,,,-88,-89,-87,-89
28,PET Eng. Elétrica,,,,,,,,,,,,-83,-83,,,-80,-79,-89,-89,,,-84,-83,-79,-80,,,,,-88,-89
29,PET Eng. Elétrica,,,,,,,,,,,,-83,-85,,,-80,-81,-88,,,,-85,-83,-78,-77,,,,,-87,-88
30,PET Eng. Elétrica,,,,,,,,,,,,-86,-88,,,-82,-81,,,,,-86,-86,-75,-77,,,,-88,-87,-88
31,Lab. de medidas em telecomunicações,,,-77,-76,,,,-88,-86,,,,,,-90,,,-66,-66,,,,,,,,,,,-74,-75
32,Lab. de medidas em telecomunicações,,,-78,-77,,,,-89,-89,,,,,,-90,,,-65,-65,,,,,,,,,,,-78,-78
33,Lab. de medidas em telecomunicações,,,-78,-78,,,,-86,-86,,,,,,,,,-65,-65,,,,,,,,,,,-77,-77
34,Lab. de medidas em telecomunicações,,,-76,-76,,,,-85,-85,,,,,,,,,-65,-64,,,,,,,,,,,-76,-77
35,Lab. de medidas em telecomunicações,,,-77,-77,,,,-85,-86,,,,,,-92,,,-65,-65,,,,,,,,,,,-77,-77
36,Lab. de aferição e calibração,,,-87,-86,,,,-82,-82,,,,,,,,,-59,-59,,,-88,-88,,,,,,,-73,-74
