data,hora,num,ambiente,XGB05,XGB10,RF05,RF10
87,08/05/2026,07:22:04,Lab. de redes convergentes,Lab. de redes convergentes,Coordenação de pós em Eng. Elétrica,Lab. de redes convergentes,Lab. de fibras ópticas
88,08/05/2026,07:22:14,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
89,08/05/2026,07:22:24,Lab. de redes convergentes,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
90,08/05/2026,07:22:34,Lab. de redes convergentes,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
91,08/05/2026,07:23:00,Lab. de fibras ópticas,Lab. de fibras ópticas,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
92,08/05/2026,07:23:10,Lab. de fibras ópticas,Lab. de fibras ópticas,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
93,08/05/2026,07:23:20,Lab. de fibras ópticas,Lab. de fibras ópticas,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
94,08/05/2026,07:23:30,Lab. de fibras ópticas,Lab. de Medição e Calibração,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
95,08/05/2026,07:23:40,Lab. de fibras ópticas,Lab. de Medição e Calibração,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
96,08/05/2026,07:23:51,Lab. de fibras ópticas,Lab. de Medição e Calibração,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
97,08/05/2026,07:24:01,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de Medição e Calibração,Lab. de Telecomunicações
98,08/05/2026,07:24:11,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de Medição e Calibração,Lab. de Telecomunicações
99,08/05/2026,07:24:21,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de Telecomunicações,Lab. de Medição e Calibração,Lab. de Telecomunicações
100,08/05/2026,07:24:31,Lab. de fibras ópticas,Lab. de Medição e Calibração,Coordenação de pós em Eng. Elétrica,Lab. de Medição e Calibração,Lab. de Telecomunicações
101,08/05/2026,07:24:56,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Práticas didáticas,Práticas didáticas
102,08/05/2026,07:25:06,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Práticas didáticas,Práticas didáticas
103,08/05/2026,07:25:17,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
104,08/05/2026,07:25:27,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
105,08/05/2026,07:25:37,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
106,08/05/2026,07:25:47,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
107,08/05/2026,07:25:57,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
108,08/05/2026,07:26:07,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
109,08/05/2026,07:26:17,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Práticas didáticas,Pesquisa em Eng. Elétrica
110,08/05/2026,07:26:28,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Pesquisa em Eng. Elétrica,Lab. de fibras ópticas,Pesquisa em Eng. Elétrica
111,08/05/2026,07:26:52,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Auditório de Eng. Elétrica
112,08/05/2026,07:27:02,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas
113,08/05/2026,07:27:12,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas
114,08/05/2026,07:27:22,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas
115,08/05/2026,07:27:32,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas
116,08/05/2026,07:27:42,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Auditório de Eng. Elétrica
117,08/05/2026,07:27:52,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas
118,08/05/2026,07:28:02,Práticas didáticas,Pesquisa em Eng. Elétrica,Práticas didáticas,Práticas didáticas,Práticas didáticas
119,08/05/2026,07:28:12,Práticas didáticas,Práticas didáticas,Práticas didáticas,Práticas didáticas,Auditório de Eng. Elétrica
120,08/05/2026,07:28:22,Práticas didáticas,Pesquisa em Eng. Elétrica,Práticas didáticas,Práticas didáticas,Práticas didáticas
121,08/05/2026,07:29:17,Sala dos professores,Sala dos professores,Sala dos professores,PET Eng. Elétrica,Sala dos professores
122,08/05/2026,07:29:27,Sala dos professores,Sala dos professores,Sala dos professores,PET Eng. Elétrica,Sala dos professores
123,08/05/2026,07:29:37,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores
124,08/05/2026,07:29:47,Sala dos professores,PET Eng. Elétrica,Sala dos professores,PET Eng. Elétrica,Sala dos professores
125,08/05/2026,07:29:58,Sala dos professores,PET Eng. Elétrica,Sala dos professores,PET Eng. Elétrica,Sala dos professores
126,08/05/2026,07:30:08,Sala dos professores,PET Eng. Elétrica,Sala dos professores,PET Eng. Elétrica,Sala dos professores
127,08/05/2026,07:30:18,Sala dos professores,PET Eng. Elétrica,Sala dos professores,PET Eng. Elétrica,Lab. de redes convergentes
128,08/05/2026,07:30:28,Sala dos professores,PET Eng. Elétrica,Lab. de redes convergentes,PET Eng. Elétrica,Lab. de redes convergentes
129,08/05/2026,07:30:38,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores
130,08/05/2026,07:30:48,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores,Sala dos professores
131,08/05/2026,07:32:08,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03
132,08/05/2026,07:32:18,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03
133,08/05/2026,07:32:28,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
134,08/05/2026,07:32:38,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
135,08/05/2026,07:32:48,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
136,08/05/2026,07:32:58,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
137,08/05/2026,07:33:08,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
138,08/05/2026,07:33:18,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03,Lab. química 03
139,08/05/2026,07:33:28,Lab. química 03,Lab. química 03,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
140,08/05/2026,07:33:39,Lab. química 03,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Lab. química 03,Lab. química 03
141,08/05/2026,07:34:02,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. de Ciências
142,08/05/2026,07:34:12,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. química 03
143,08/05/2026,07:34:22,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. química 03
144,08/05/2026,07:34:32,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. química 03
145,08/05/2026,07:34:42,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. química 03
146,08/05/2026,07:35:00,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01
147,08/05/2026,07:35:10,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01
148,08/05/2026,07:35:21,Lab. química 01,Lab. química 01,Coordenação de pós em Eng. Elétrica,Lab. química 01,Lab. química 01
149,08/05/2026,07:35:30,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01
150,08/05/2026,07:35:41,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01,Lab. química 01
151,08/05/2026,07:36:11,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
152,08/05/2026,07:36:21,Lab. Analítico,Lab. Analítico,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento
153,08/05/2026,07:36:31,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
154,08/05/2026,07:36:41,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
155,08/05/2026,07:36:51,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
156,08/05/2026,07:37:09,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
157,08/05/2026,07:37:19,Lab. Analítico,Lab. Analítico,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento
158,08/05/2026,07:37:29,Lab. Analítico,Lab. Analítico,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento
159,08/05/2026,07:37:40,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
160,08/05/2026,07:37:50,Lab. Analítico,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
161,08/05/2026,07:38:51,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências
162,08/05/2026,07:39:01,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências
163,08/05/2026,07:39:11,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências
164,08/05/2026,07:39:21,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências
165,08/05/2026,07:39:31,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências
166,08/05/2026,07:39:49,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento,Lab. de Ciências
167,08/05/2026,07:39:59,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências
168,08/05/2026,07:40:09,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências
169,08/05/2026,07:40:19,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências,Núcleo de Pesquisa e Atendimento,Lab. de Ciências
170,08/05/2026,07:40:29,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências,Lab. de Ciências
171,08/05/2026,07:40:58,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento,Lab. Analítico,Núcleo de Pesquisa e Atendimento
172,08/05/2026,07:41:08,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento,Núcleo de Pesquisa e Atendimento
